video_id,title,published_date
Vtckgz38QHs,Learn Quick Sort in 13 minutes ⚡,2021-08-13 14:11:31+00:00
iLZOL-hmr7M,C format specifiers 🔧,2021-08-15 15:27:58+00:00
Hh_se2Zqsdk,Learn HTML images in 3 minutes 📷,2021-08-15 15:28:16+00:00
9E3I1URu6fc,C arithmetic operators ➗,2021-08-19 15:00:33+00:00
SZfoOAv9tEo,Learn HTML text formatting in 2 minutes 💬,2021-08-21 15:06:21+00:00
-kXZvKxs9oA,Learn HTML lists in 4 minutes 📋,2021-08-21 15:23:45+00:00
REtiFfgj8SU,C circle circumference program ⚪,2021-08-27 15:11:56+00:00
5mqHzWIzruM,C hypotenuse calculator program 📐,2021-09-01 12:37:50+00:00
6IQz_cF-Slk,Learn HTML colors in 3 minutes 🖍️,2021-09-01 12:49:24+00:00
yHX-UwAnoqk,Learn HTML span &amp; div in 2 minutes 🏁,2021-09-01 12:49:52+00:00
xv-bBxaa7WU,CSS tutorial for beginners 🎨,2021-09-02 13:09:04+00:00
6RuzhtsbSIg,Learn CSS borders in 2 minutes 🔲,2021-09-02 14:14:16+00:00
qTEDcXJ-dzw,Learn CSS shadows in 2 minutes 👥,2021-09-03 13:03:52+00:00
fWnXVwULqrE,Learn CSS pseudo classes in 5 minutes 👨‍👧‍👦,2021-09-04 13:42:49+00:00
O7mTUtHDP5E,Learn CSS animation in 8 minutes 🎞️,2021-09-04 19:57:52+00:00
wRNinF7YQqQ,Learn CSS in 1 hour 🎨,2021-09-08 14:00:20+00:00
b4DPj0XAfSg,C for loops in 3 minutes! 🔁,2021-10-06 20:48:11+00:00
shLeCvDQYp4,C print an array with loop 🔃,2021-10-06 20:51:51+00:00
qLVrwCvVPGo,C sort an array 💱,2021-10-06 20:54:26+00:00
Lk-b45vrT8U,C array of structs 🏫,2021-10-06 20:57:10+00:00
yD3MGmGtlWY,C quiz game 💯,2021-10-06 21:00:05+00:00
DplxIq0mc_Y,C pointers explained👉,2021-10-06 21:02:42+00:00
Hzg3kCHJcxI,C reading files 🔎,2021-10-06 21:04:27+00:00
N1twTeNMdOE,C break vs continue 🥊,2021-10-06 21:06:13+00:00
Vh4krbTnTAA,C 2D arrays ⬜,2021-10-06 21:06:25+00:00
87SH2Cn0s9A,C Programming Full Course for free ⚙️,2021-10-07 14:00:10+00:00
246V51AWwZM,Learn Linear Search in 3 minutes ⬇️,2021-10-16 19:36:57+00:00
7z_HXFZqXqc,Learn Priority Queue data structures in 5 minutes 🥇,2021-10-17 19:13:46+00:00
Gt2yBZAhsGM,Learn Binary search trees in 20 minutes 🔍,2021-11-10 15:22:47+00:00
imiIhu9u670,How to accept user input in C++? ⌨️,2022-04-19 23:19:39+00:00
kO3eEn_hgQc,What&#39;s an if statement? 🤔,2022-04-21 12:35:50+00:00
Bx9b12FCF5o,What is a switch? 🔀,2022-04-21 12:36:14+00:00
dWsjatPhWHQ,What is the ternary operator ❓,2022-04-21 12:36:34+00:00
bwqy8RZxrS4,Useful string methods in JavaScript 〰️【4 minutes】,2022-04-22 15:43:55+00:00
fc19HhHKtrA,C++ dynamic memory explained for beginners 🧠,2022-05-23 03:17:47+00:00
-TkoO8Z07hI,C++ Full Course for free ⚡️,2022-06-28 23:47:32+00:00
9IX8bfUTSaA,ignore this video,2022-09-20 12:35:05+00:00
nMCOB8KElwo,User input in Python is easy + exercises ⌨️,2022-10-07 13:31:53+00:00
kUDznItqKbI,MySQL: How to SELECT data from a TABLE,2022-10-12 12:53:07+00:00
Of_-2pBeL0g,MySQL: UNIQUE constraint,2022-10-18 14:00:42+00:00
EeG2boJCXbc,MySQL: CHECK constraint is easy,2022-10-20 14:31:20+00:00
KWgYha0clzw,Learn Python for loops in 5 minutes! 🔁,2022-10-23 17:33:10+00:00
ALht4W2QxqY,MySQL: AUTO_INCREMENT is awesome,2022-10-25 12:56:17+00:00
R-5F3BF8IeY,MySQL ORDER BY clause is easy,2022-11-02 20:52:09+00:00
q-kZ8Rq58MY,MySQL LIMIT clause is easy,2022-11-03 10:55:05+00:00
