video_id,title,published_date,year,month,day_of_week
WJ8iTQpNxZA,Spherical Coordinate System Explained | Electromagnetic Theory,2026-01-04 05:06:29+00:00,2026,1,Sunday
c_uhZ-yl-Rs,Cylindrical Coordinate System Explained | Cartesian to Cylindrical Vector Conversion Explained,2025-12-25 18:51:09+00:00,2025,12,Thursday
QiJYv4hHcLY,What is Virtual Ground in Op-Amp ? Why Virtual Ground Concept exist in Op-Amp?,2025-12-09 17:52:45+00:00,2025,12,Tuesday
Fk49H5xS_h0,Interesting thing about XOR and XNOR gates you should know !! #digitalelectronics,2025-11-30 16:38:52+00:00,2025,11,Sunday
tWyPuCbYLUg,"Solved Problems on Vectors, Vector Algebra and Vector Fields | Electromagnetic Theory",2025-11-06 15:10:54+00:00,2025,11,Thursday
jGoVQ6tDE3M,Vector Algebra | Vector Addition and Subtraction | Concept of Vector Fields,2025-11-01 05:30:07+00:00,2025,11,Saturday
FsS-FUdS4J4,Introduction to Electromagnetic Theory,2025-10-12 14:46:29+00:00,2025,10,Sunday
0LSH-xH5LN4,What is PCB Vias ? Types of Vias in PCB. #pcb #allaboutelectronics,2025-10-04 18:06:26+00:00,2025,10,Saturday
Gu9M1auKVsk,Different Operating Regions of BJT #allaboutelectronics #bjt,2025-10-02 16:06:43+00:00,2025,10,Thursday
XeZtJwiF4Oc,PCB Explained | What is PCB ? Types of PCB | Fabrication process of PCB Explained,2025-09-22 10:41:15+00:00,2025,9,Monday
GHQ8vbOZMnI,What is Zero PCB ? Why it is used? How Zero PCB is made ? #pcbs,2025-09-09 17:03:45+00:00,2025,9,Tuesday
zQfhn1jyePY,How Schottky Diode is Different from Normal Diode? #allaboutelectronics,2025-09-02 19:06:10+00:00,2025,9,Tuesday
6UrTvTjGR4Q,"Different IC Packages Explained | DIP, SOIC, QFP, QFN and BGA Packages Explained",2025-08-21 15:20:30+00:00,2025,8,Thursday
1WMSB1Nl9VA,Zener Diode Solved Problems | Line and Load Regulation in Zener Diode as Voltage Regulators,2025-07-31 07:03:04+00:00,2025,7,Thursday
ztDimUBc2dU,4 to 20 mA Standard Explained | Advantages of 4 to 20 mA Standard,2025-06-21 07:31:28+00:00,2025,6,Saturday
