video_id,title,published_date
sGrtmHgS7qo,Social media is giving you bad dating advice—here’s how to spot it | Funmi Okonweze | TEDxClarkstown,2025-12-18 18:01:06+00:00
Km4SpHamt9A,“A página que mudou tudo.” | Tiago Silva | TEDxVITA School Youth,2025-12-18 17:56:58+00:00
vbHOfFhIU1U,Educação é corresponsabilidade | Rafael Gama | TEDxVITA School Youth,2025-12-18 17:56:32+00:00
fIEN3uFFZ-g,An Ibiza Mega-Mix &amp; More on Ukuleles! | UKEBOX Ukulele Band | TEDxDurham,2025-12-18 17:57:47+00:00
8R0Wkw0wgCs,Under siege by internet trolls | Jennifer Bartram | TEDxDurham,2025-12-18 17:58:11+00:00
IvYaCV5guGc,Why networking opens doors after college | Om Prakash Senthil Kumar | TEDxLoyola College,2025-12-18 17:55:07+00:00
bjb0u3mEmX8,"“O inteligente, o burro e o esforçado.” | Gabriel Fontes | TEDxVITA School Youth",2025-12-18 17:54:54+00:00
TRaEGpYaxMs,"Quando meu trabalho não ajudar mais as pessoas, eu paro.”  | Lys Silva | TEDxVITA School Youth",2025-12-18 17:55:15+00:00
muxKHO7W_s8,A Inteligência Artificial e um Mundo Mais Acessível | Carlos Amorim Soares | TEDxVITA School Youth,2025-12-18 17:54:17+00:00
4EMytuvUX9c,"Herdando Lições, Criando Futuros  | Domingos Machado | TEDxVITA School Youth",2025-12-18 17:53:06+00:00
RMPao1HCSH0,Propósito não tem nada a ver com o que você pensa | Bruno Oliveira | TEDxVITA School Youth,2025-12-18 17:52:39+00:00
uW4u_JP23xE,When Life Forces a Restart:Battling Cancer | Naser AlQatami | TEDxUAS Kuwait Youth,2025-12-18 17:52:18+00:00
I4dGetSdXpA,O Comando positivo gera uma comunicação inabalável | Priscilla Bittencourt | TEDxVITA School Youth,2025-12-18 17:52:01+00:00
67YJHj-GT-w,Why bad bosses exist and persist | Emily Frieze-Kemeny | TEDxJersey City,2025-12-18 17:52:09+00:00
CtuqK-0jwgo,I funghi bioluminescenti tra natura e scienza | Basilio Busà | TEDxCatania Salon,2025-12-18 17:53:27+00:00
EnaUeIviKII,The Audacity to Dream Out Loud from the Imaginal Realm to Reality | Sherri Pullum | TEDxJersey City,2025-12-18 17:52:26+00:00
WQXedbLBG7Q,Reach the impossible with the secrets of Kung Fu | Sacha Wenk | TEDxMontmartre,2025-12-18 17:53:19+00:00
ElEzB0YLJjM,"Trajetória, ginástica ritmica brasileira e o pódio mundial | Camila Ferezin | TEDxVITA School Youth",2025-12-18 17:51:51+00:00
8tnpB8LD0b0,Italia al bivio: meta da consumare o comunità da custodire?   | Elisabetta Faggiana | TEDxVerona,2025-12-18 17:50:13+00:00
xlQV5b_EyqI,L’Alimentazione nello Spazio è il Futuro del Cibo sulla Terra? | Elena Luciani | TEDxVerona,2025-12-18 17:51:36+00:00
NkjcfzYalZM,Come si sopravvive all&#39;ecoansia | Fill Pill | TEDxVerona,2025-12-18 17:47:49+00:00
1eePZ9TYwD8,Cosa sogni di diventare mattone? | Gerardo Semprebon | TEDxVerona,2025-12-18 17:48:38+00:00
dDYEFpnoKn8,"Raised on Dreams, Wired for Destiny | Mr. Satish Gaikwad | TEDxTheKnowledgeHabitatPuneYouth",2025-12-18 17:49:40+00:00
m7DCEFT0elg,Grande Muraglia Verde la VOCE che può fare fiorire un deserto | Anna Laura Migliorati | TEDxVerona,2025-12-18 17:49:24+00:00
8YXhPNJgNWE,"La batalla invisible: Ciencia, humanidad y esperanza | Felipe Couñago | TEDxAlbacete",2025-12-18 17:47:22+00:00
SbBXDhQeMwM,Giustizia climatica: Taranto e Pacifico nella sfida ambientale globale | Renato Nitti | TEDxVerona,2025-12-18 17:45:38+00:00
SF2IOavwUko,A Lifetime of Wonder | Col. Gopal Karunakaran | TEDxTheKnowledgeHabitatPuneYouth,2025-12-18 17:47:30+00:00
aRPXZxp4TzE,Sondan Başa | Emre Can Balcı | TEDxSDU,2025-12-18 17:46:22+00:00
yXWZPcvRKEA,"Born from Grit, Raising with Grace | Simran Rai | TEDxNHVPS Youth",2025-12-18 17:46:36+00:00
qvTeCtUBYSk,"Bağlanmak Mı, Bırakmak Mı? | Pelin Hazer | TEDxSDU",2025-12-18 17:42:57+00:00
z0F0f6g9Cko,The Rural City | Eva Jiang | TEDxChengdu No.7 HS,2025-12-18 17:39:37+00:00
USpL-fiBoUA,Sihirle Yazılan Girişimcilik Hikayesi | Fırat Oğuz | TEDxSDU,2025-12-18 17:40:43+00:00
U0wYEQxmzCY,THRIVING ON SURPRISE – SMART FUTURES FOR SUSTAINABLE GROWTH | Rafael Popper | TEDxMedUniGraz,2025-12-18 17:40:28+00:00
iFsBmMvY9EI,The River as Teacher | Vyomesh Shukla | TEDxSunbeam Sarnath Youth,2025-12-18 17:41:01+00:00
FKN9gMvUokA,Don&#39;t Follow The Future. Design It. | Jimmy Mistry | TEDxBDSIS,2025-12-18 17:37:08+00:00
tbnh4fMo79E,Yakshagana | Ashwini Kondadakuli | TEDxREVA University,2025-12-18 17:37:36+00:00
QrT2_jsruQU,From Restlessness to Clarity: Finding Your Purpose | Anaheeta (Annie) Bafna | TEDxBDSIS,2025-12-18 17:35:45+00:00
naQR2mtCM5Y,Destiny&#39;s Dance  | Mythili Zatakia | TEDxBDSIS,2025-12-18 17:35:15+00:00
aJR18bN2GDQ,Go rogue: Accessibility rebels change the world | Barb Westlake | TEDxWest Vancouver,2025-12-18 17:35:03+00:00
DdMGYzgO35c,The Quiet Accumulation of  &#39;Aha&#39; | Tanisha Kejriwal | TEDxBDSIS,2025-12-18 17:36:47+00:00
9hDWhSc5m70,Lessons from Bringing back Indias ancient grain | Prashant Parameswaran | TEDxREVA University,2025-12-18 17:33:59+00:00
vL0odr0-HZc,Indian Knowledge for Future Aerospace | Dr. Prahlada Rama Rao | TEDxREVA University,2025-12-18 17:33:30+00:00
JGCxbRPLcoU,The Bodega Blueprint Higher Education’s Cornerstone of Success | Jeff Dess | TEDxJersey City,2025-12-18 17:34:12+00:00
rqX7O8PKROA,“The Compass and the Clave: A Lesson on Leading” | Andrés Acebo | TEDxJersey City,2025-12-18 17:33:22+00:00
oQjiZpranZ8,Remixing the Narrative: Flipping the Script on Impostor Syndrome | Nicole Pulliam | TEDxJersey City,2025-12-18 17:33:00+00:00
W6FtHSpfm4E,Signing My Contract to Live | Wen Bao | TEDxUniversity of Sydney,2025-12-18 17:31:33+00:00
6EshgppMwgg,A inteligência artificial não aprende sozinha e nós também não | Izabela Rubens | TEDxUDESC,2025-12-18 17:32:10+00:00
fkRWmhZWHCo,See Different How Seeing People Unlocks Everyone’s Potential | Dhiren &#39;Ren&#39; Parikh | TEDxJersey City,2025-12-18 17:31:52+00:00
Ff0_od_HQFc,Loud | Katherine Hudson | TEDxUniversity of Sydney,2025-12-18 17:30:09+00:00
FwxrGA3qlhM,The Gift of Falling Behind | Adam El-Masri | TEDxUniversity of Sydney,2025-12-18 17:29:32+00:00
